"Statistic Label","Year","Age Group","Sex","Education Attainment Level","NUTS 2 Region","UNIT","VALUE"
"Annual employment rate","2019","30 - 34 years","Male","Level of education - not stated","Eastern and Midland","%","90.3"
"Annual employment rate","2019","30 - 34 years","Female","Levels of Education (Levels  0-8)","Ireland","%","74"
"Annual employment rate","2019","30 - 34 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","75.2"
"Annual employment rate","2019","30 - 34 years","Female","Levels of Education (Levels  0-8)","Southern","%","74.1"
"Annual employment rate","2019","30 - 34 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","73.6"
"Annual employment rate","2019","30 - 34 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","30 - 34 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","30 - 34 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","30 - 34 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","34.2"
"Annual employment rate","2019","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2019","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%",""
"Annual employment rate","2019","30 - 34 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","35.4"
"Annual employment rate","2019","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","65.8"
"Annual employment rate","2019","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","70.2"
"Annual employment rate","2019","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","65.1"
"Annual employment rate","2019","30 - 34 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","64.8"
"Annual employment rate","2019","30 - 34 years","Female","Tertiary education (Levels 5-8)","Ireland","%","83.5"
"Annual employment rate","2019","30 - 34 years","Female","Tertiary education (Levels 5-8)","Northern and Western","%","83"
"Annual employment rate","2019","30 - 34 years","Female","Tertiary education (Levels 5-8)","Southern","%","84.3"
"Annual employment rate","2019","30 - 34 years","Female","Tertiary education (Levels 5-8)","Eastern and Midland","%","83.3"
"Annual employment rate","2019","30 - 34 years","Female","Level of education - not stated","Ireland","%","65.9"
"Annual employment rate","2019","30 - 34 years","Female","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2019","30 - 34 years","Female","Level of education - not stated","Southern","%","66.8"
"Annual employment rate","2019","30 - 34 years","Female","Level of education - not stated","Eastern and Midland","%","68.4"
"Annual employment rate","2019","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","81.4"
"Annual employment rate","2019","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","78.2"
"Annual employment rate","2019","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","Southern","%","80.2"
"Annual employment rate","2019","35 - 39 years","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","83.2"
"Annual employment rate","2019","35 - 39 years","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","35 - 39 years","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","35 - 39 years","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","35 - 39 years","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","54.7"
"Annual employment rate","2019","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","56"
"Annual employment rate","2019","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","50.3"
"Annual employment rate","2019","35 - 39 years","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","57.3"
"Annual employment rate","2019","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","78.7"
"Annual employment rate","2019","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","76.5"
"Annual employment rate","2019","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","78.4"
"Annual employment rate","2019","35 - 39 years","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","79.8"
"Annual employment rate","2019","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","88.4"
"Annual employment rate","2019","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","84.2"
"Annual employment rate","2019","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","Southern","%","89"
"Annual employment rate","2019","35 - 39 years","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","89.1"
"Annual employment rate","2019","35 - 39 years","Both sexes","Level of education - not stated","Ireland","%","77.1"
"Annual employment rate","2019","35 - 39 years","Both sexes","Level of education - not stated","Northern and Western","%","74.8"
"Annual employment rate","2019","35 - 39 years","Both sexes","Level of education - not stated","Southern","%","72.9"
"Annual employment rate","2019","35 - 39 years","Both sexes","Level of education - not stated","Eastern and Midland","%","82.3"
"Annual employment rate","2019","35 - 39 years","Male","Levels of Education (Levels  0-8)","Ireland","%","89.1"
"Annual employment rate","2019","35 - 39 years","Male","Levels of Education (Levels  0-8)","Northern and Western","%","86.4"
"Annual employment rate","2019","35 - 39 years","Male","Levels of Education (Levels  0-8)","Southern","%","87.9"
"Annual employment rate","2019","35 - 39 years","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","90.7"
"Annual employment rate","2019","35 - 39 years","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","35 - 39 years","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","35 - 39 years","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","35 - 39 years","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","67.6"
"Annual employment rate","2019","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","68.5"
"Annual employment rate","2019","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Southern","%","67"
"Annual employment rate","2019","35 - 39 years","Male","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","67.8"
"Annual employment rate","2019","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","90"
"Annual employment rate","2019","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","87.1"
"Annual employment rate","2019","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","89.1"
"Annual employment rate","2019","35 - 39 years","Male","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","91.8"
"Annual employment rate","2019","35 - 39 years","Male","Tertiary education (Levels 5-8)","Ireland","%","93.9"
"Annual employment rate","2019","35 - 39 years","Male","Tertiary education (Levels 5-8)","Northern and Western","%","91.9"
"Annual employment rate","2019","35 - 39 years","Male","Tertiary education (Levels 5-8)","Southern","%","94.3"
"Annual employment rate","2019","35 - 39 years","Male","Tertiary education (Levels 5-8)","Eastern and Midland","%","94.1"
"Annual employment rate","2019","35 - 39 years","Male","Level of education - not stated","Ireland","%","84.8"
"Annual employment rate","2019","35 - 39 years","Male","Level of education - not stated","Northern and Western","%",""
"Annual employment rate","2019","35 - 39 years","Male","Level of education - not stated","Southern","%","83.6"
"Annual employment rate","2019","35 - 39 years","Male","Level of education - not stated","Eastern and Midland","%","89.6"
"Annual employment rate","2019","35 - 39 years","Female","Levels of Education (Levels  0-8)","Ireland","%","74.2"
"Annual employment rate","2019","35 - 39 years","Female","Levels of Education (Levels  0-8)","Northern and Western","%","70.9"
"Annual employment rate","2019","35 - 39 years","Female","Levels of Education (Levels  0-8)","Southern","%","72.8"
"Annual employment rate","2019","35 - 39 years","Female","Levels of Education (Levels  0-8)","Eastern and Midland","%","76.1"
"Annual employment rate","2019","35 - 39 years","Female","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","35 - 39 years","Female","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","35 - 39 years","Female","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","35 - 39 years","Female","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Ireland","%","38.4"
"Annual employment rate","2019","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Northern and Western","%",""
"Annual employment rate","2019","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Southern","%","27.5"
"Annual employment rate","2019","35 - 39 years","Female","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","45.9"
"Annual employment rate","2019","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","65.4"
"Annual employment rate","2019","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","64.7"
"Annual employment rate","2019","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","65.2"
"Annual employment rate","2019","35 - 39 years","Female","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","65.8"
"Annual employment rate","2019","35 - 39 years","Female","Tertiary education (Levels 5-8)","Ireland","%","84.2"
